code,name,symbol,level,status,description
05,lift,,3.9,X,
06,small spray,,3.9,X,
08,heat lot,,3.9,X,
10,group,,3.9,,A unit of count defining the number of groups (group: set of items classified together).
11,outfit,,3.9,,A unit of count defining the number of outfits (outfit: a complete set of equipment / materials / objects used for a specific purpose).
13,ration,,3.9,,A unit of count defining the number of rations (ration: a single portion of provisions).
14,shot,,3.9,,"A unit of liquid measure, especially related to spirits."
15,"stick, military",,3.9,,A unit of count defining the number of military sticks (military stick: bombs or paratroops released in rapid succession from an aircraft).
16,hundred fifteen kg drum,,3.3,X,
17,hundred lb drum,,3.3,X,
18,fiftyfive gallon (US) drum,,3.3,X,
19,tank truck,,3.4,X,
20,twenty foot container,,3.4,,A unit of count defining the number of shipping containers that measure 20 foot in length.
21,forty foot container,,3.4,,A unit of count defining the number of shipping containers that measure 40 foot in length.
22,decilitre per gram,dl/g,1M,,
23,gram per cubic centimetre,g/cm³,1S,,
24,theoretical pound,,3.1,,A unit of mass defining the expected mass of material expressed as the number of pounds.
25,gram per square centimetre,g/cm²,1M,,
26,actual ton,,3.1,X,
27,theoretical ton,,3.1,,"A unit of mass defining the expected mass of material, expressed as the number of tons."
28,kilogram per square metre,kg/m²,1,,
29,pound per thousand square foot,lb/kft²,3.8,X,
30,horse power day per air dry metric ton,,3.5,X,
31,catch weight,,3.9,X,
32,kilogram per air dry metric ton,,3.5,X,
33,kilopascal square metre per gram,kPa·m²/g,1M,,
34,kilopascal per millimetre,kPa/mm,1M,,
35,millilitre per square centimetre second,ml/(cm²·s),1M,,
36,cubic foot per minute per square foot,ft³/(min/ft²),1M,X,Conversion factor required
37,ounce per square foot,oz/ft²,2,,
38,"ounce per square foot per 0,01inch",oz/(ft²/cin),3.9,,
40,millilitre per second,ml/s,1M,,
41,millilitre per minute,ml/min,1M,,
43,super bulk bag,,3.3,X,"Use UN/ECE Recommendation 21 (refer to Note 2 in the spreadsheet introduction, 1st sheet)."
44,fivehundred kg bulk bag,,3.3,X,
45,threehundred kg bulk bag,,3.3,X,
46,fifty lb bulk bag,,3.3,X,
47,fifty lb bag,,3.3,X,
48,bulk car load,,3.4,X,
53,theoretical kilogram,,3.1,X,
54,theoretical tonne,,3.1,X,
56,sitas,,3.9,,A unit of area for tin plate equal to a surface area of 100 square metres.
57,mesh,,3.9,,A unit of count defining the number of strands per inch as a measure of the fineness of a woven product.
58,net kilogram,,3.1,,A unit of mass defining the total number of kilograms after deductions.
59,part per million,ppm,3.7,,A unit of proportion equal to 10⁻⁶.
60,percent weight,,3.7,,A unit of proportion equal to 10⁻².
61,part per billion (US),ppb,3.7,,A unit of proportion equal to 10⁻⁹.
62,percent per 1000 hour,,3.7,X,
63,failure rate in time,,3.9,X,
64,"pound per square inch, gauge",,3.1,D,
66,oersted,Oe,3.5,D,
69,test specific scale,,3.9,X,
71,volt ampere per pound,,3.9,X,
72,watt per pound,,3.9,X,
73,ampere tum per centimetre,,3.9,X,
74,millipascal,mPa,1S,,
76,gauss,Gs,3.5,D,
77,milli-inch,mil,2,,
78,kilogauss,kGs,3.5,D,
80,pound per square inch absolute,lb/in²,2,,
81,henry,H,1,,
84,kilopound-force per square inch,klbf/in²,2,D,"A unit of pressure defining the number of kilopounds force per square inch.
Use kip per square inch (common code N20)."
85,foot pound-force,ft·lbf,2,,
87,pound per cubic foot,lb/ft³,2,,
89,poise,P,2,,
90,Saybold universal second,,3.9,X,
91,stokes,St,2,,
92,calorie per cubic centimetre,,3.9,X,
93,calorie per gram,cal/g,3.5,X,Use International Table (IT) calorie per gram (common code D75).
94,curl unit,,3.9,X,
95,twenty thousand gallon (US) tankcar,,3.4,X,
96,ten thousand gallon (US) tankcar,,3.4,X,
97,ten kg drum,,3.3,X,
98,fifteen kg drum,,3.3,X,
1A,car mile,,3.5,X,
1B,car count,,3.5,X,
1C,locomotive count,,3.5,X,
1D,caboose count,,3.5,X,
1E,empty car,,3.5,X,
1F,train mile,,3.5,X,
1G,fuel usage gallon (US),,3.5,X,
1H,caboose mile,,3.5,X,
1I,fixed rate,,3.9,,A unit of quantity expressed as a predetermined or set rate for usage of a facility or service.
1J,ton mile,,3.5,X,
1K,locomotive mile,,3.5,X,
1L,total car count,,3.5,X,
1M,total car mile,,3.5,X,
1X,quarter mile,,3.8,X,
2A,radian per second,rad/s,1,,Refer ISO/TC12 SI Guide
2B,radian per second squared,rad/s²,1,,Refer ISO/TC12 SI Guide
2C,roentgen,R,2,,
2G,volt AC,V,3.1,,A unit of electric potential in relation to alternating current (AC).
2H,volt DC,V,3.1,,A unit of electric potential in relation to direct current (DC).
2I,British thermal unit (international table) per hour,BtuIT/h,2,,
2J,cubic centimetre per second,cm³/s,1S,,
2K,cubic foot per hour,ft³/h,2,,
2L,cubic foot per minute,ft³/min,2,,
2M,centimetre per second,cm/s,1S,,
2N,decibel,dB,1,,
2P,kilobyte,kbyte,3.6,,A unit of information equal to 10³ (1000) bytes.
2Q,kilobecquerel,kBq,1S,,
2R,kilocurie,kCi,2S,,
2U,megagram,Mg,1S,,
2V,megagram per hour,Mg/h,3.8,X,
2W,bin,,3.3,X,"Use UN/ECE Recommendation 21 (refer to Note 2 in the spreadsheet introduction, 1st sheet)."
2X,metre per minute,m/min,1M,,
2Y,milliroentgen,mR,2,,
2Z,millivolt,mV,1S,,
3B,megajoule,MJ,1S,,
3C,manmonth,,3.9,,A unit of count defining the number of months for a person or persons to perform an undertaking.
3E,pound per pound of product,,3.9,X,
3G,pound per piece of product,,3.9,X,
3H,kilogram per kilogram of product,,3.9,X,
3I,kilogram per piece of product,,3.9,X,
4A,bobbin,,3.3,X,"Use UN/ECE Recommendation 21 (refer to Note 2 in the spreadsheet introduction, 1st sheet)."
4B,cap,,3.9,X,
4C,centistokes,cSt,2,,
4E,twenty pack,,3.2,X,
4G,microlitre,µl,1M,,
4H,micrometre (micron),µm,1S,,
4K,milliampere,mA,1S,,
4L,megabyte,Mbyte,3.6,,A unit of information equal to 10⁶ (1000000) bytes.
4M,milligram per hour,mg/h,1M,,
4N,megabecquerel,MBq,1S,,
4O,microfarad,µF,1S,,
4P,newton per metre,N/m,1,,
4Q,ounce inch,oz·in,2,,
4R,ounce foot,oz·ft,2,,
4T,picofarad,pF,1S,,
4U,pound per hour,lb/h,2,,
4W,ton (US) per hour,ton (US) /h,2,,
4X,kilolitre per hour,kl/h,1M,,
5A,barrel (US) per minute,barrel (US)/min,2,,
5B,batch,,3.9,,A unit of count defining the number of batches (batch: quantity of material produced in one operation or number of animals or persons coming at once).
5C,gallon(US) per thousand,,3.9,X,
5E,MMSCF/day,,3.9,,A unit of volume equal to one million (1000000) cubic feet of gas per day.
5F,pound per thousand,,3.9,X,
5G,pump,,3.9,X,
5H,stage,,3.9,X,
5I,standard cubic foot,std,2,X,Use standard (common code WSD)
5J,hydraulic horse power,,3.5,,A unit of power defining the hydraulic horse power delivered by a fluid pump depending on the viscosity of the fluid.
5K,count per minute,,3.9,X,
5P,seismic level,,3.9,X,
5Q,seismic line,,3.9,X,
A1,15 °C calorie,cal₁₅,2,D,
A10,ampere square metre per joule second,A·m²/(J·s),1,,
A11,angstrom,Å,1,,
A12,astronomical unit,ua,1,,
A13,attojoule,aJ,1S,,
A14,barn,b,1,,
A15,barn per electronvolt,b/eV,1,,
A16,barn per steradian electronvolt,b/(sr·eV),1,,
A17,barn per steradian,b/sr,1,,
A18,becquerel per kilogram,Bq/kg,1,,
