code,name,numeric,status,description
1A,"Drum, steel",34.0,,
1B,"Drum, aluminium",34.0,,
1D,"Drum, plywood",34.0,,
1F,"Container, flexible",93.0,,A packaging container of flexible construction.
1G,"Drum, fibre",34.0,,
1W,"Drum, wooden",34 or 35,,
2C,"Barrel, wooden",44 or 45,,
3A,"Jerrican, steel",23 or 33,,
3H,"Jerrican, plastic",23 or 33,,
43.0,"Bag, super bulk",64.0,,A cloth plastic or paper based bag having the dimensions of the pallet on which it is constructed.
44.0,"Bag, polybag",62 or 63,,"A type of plastic bag, typically used to wrap promotional pieces, publications, product samples, and/or catalogues."
4A,"Box, steel",21 to 25,,
4B,"Box, aluminium",21 to 25,,
4C,"Box, natural wood",21 to 25,,
4D,"Box, plywood",21 to 25,,
4F,"Box, reconstituted wood",21 to 25,,
4G,"Box, fibreboard",21 to 25,,
4H,"Box, plastic",21 to 25,,
5H,"Bag, woven plastic",62 to 64,,
5L,"Bag, textile",62 to 64,,
5M,"Bag, paper",62 to 64,,
6H,"Composite packaging, plastic receptacle","24 or 25 or
33 or 34",,
6P,"Composite packaging, glass receptacle","23 or 24 or 25 or
33 or 34 or 62 or
63",,
7A,"Case, car",22 or 23,,A type of portable container designed to store equipment for carriage in an automobile.
7B,"Case, wooden",24 or 25,,A case made of wood for retaining substances or articles.
8A,"Pallet, wooden",24 or 25,,"A platform or open-ended box, made of wood, on which goods are retained for ease of mechanical handling during transport and storage."
8B,"Crate, wooden",23 to 27,,"A receptacle, made of wood, on which goods are retained for ease of mechanical handling during transport and storage."
8C,"Bundle, wooden",16.0,,Loose or unpacked pieces of wood tied or wrapped together.
AA,"Intermediate bulk container, rigid plastic",23 to 26,,
AB,"Receptacle, fibre","21 to 23 or
31 to 33 or
41 to 43",,Containment vessel made of fibre used for retaining substances or articles.
AC,"Receptacle, paper","21 to 23 or
31 to 33 or
41 to 43",,Containment vessel made of paper for retaining substances or articles.
AD,"Receptacle, wooden","21 to 23 or
31 to 33 or
41 to 43",,Containment vessel made of wood for retaining substances or articles.
AE,Aerosol,42 or 43,,
AF,"Pallet, modular, collars 80cms * 60cms",92.0,,Standard sized pallet of dimensions 80 centimeters by 60 centimeters (cms).
AG,"Pallet, shrinkwrapped",92.0,,Pallet load secured with transparent plastic film that has been wrapped around and then shrunk tightly.
AH,"Pallet, 100cms * 110cms",92.0,,Standard sized pallet of dimensions 100centimeters by 110 centimeters (cms).
AI,Clamshell,21 to 23,,
AJ,Cone,51.0,,Container used in the transport of linear material such as yarn.
AL,Ball,46.0,,A spherical containment vessel for retaining substances or articles.
AM,"Ampoule, non-protected",31.0,,
